# energy [kcal/mol] of he2
#  conf     e_total  e_nonbond   e_bonded  e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
  12100 -1.10173e-08 -1.102e-08  0.000e+00  0.000e+00 -1.102e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  12200 -2.25905e-08 -2.259e-08  0.000e+00  0.000e+00 -2.259e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  12300 -2.26122e-08 -2.261e-08  0.000e+00  0.000e+00 -2.261e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  12400 -1.13106e-08 -1.131e-08  0.000e+00  0.000e+00 -1.131e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  12500 -2.26912e-07 -2.269e-07  0.000e+00  0.000e+00 -2.269e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  12600 -4.14409e-09 -4.144e-09  0.000e+00  0.000e+00 -4.144e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  12700 -1.23182e-06 -1.232e-06  0.000e+00  0.000e+00 -1.232e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  12800 -6.70127e-09 -6.701e-09  0.000e+00  0.000e+00 -6.701e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  12900 -8.41893e-08 -8.419e-08  0.000e+00  0.000e+00 -8.419e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  13000 -1.35765e-06 -1.358e-06  0.000e+00  0.000e+00 -1.358e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  13100 -2.10815e-07 -2.108e-07  0.000e+00  0.000e+00 -2.108e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  13200 -1.57169e-08 -1.572e-08  0.000e+00  0.000e+00 -1.572e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  13300 -1.67320e-07 -1.673e-07  0.000e+00  0.000e+00 -1.673e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  13400 -8.81915e-04 -8.819e-04  0.000e+00  0.000e+00 -8.819e-04  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  13500 -7.51490e-08 -7.515e-08  0.000e+00  0.000e+00 -7.515e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  13600 -1.18937e-08 -1.189e-08  0.000e+00  0.000e+00 -1.189e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  13700 -5.18082e-08 -5.181e-08  0.000e+00  0.000e+00 -5.181e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  13800 -2.54320e-08 -2.543e-08  0.000e+00  0.000e+00 -2.543e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  13900 -2.77977e-08 -2.780e-08  0.000e+00  0.000e+00 -2.780e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  14000 -2.56488e-05 -2.565e-05  0.000e+00  0.000e+00 -2.565e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  14100 -1.20667e-09 -1.207e-09  0.000e+00  0.000e+00 -1.207e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  14200 -7.98004e-09 -7.980e-09  0.000e+00  0.000e+00 -7.980e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  14300 -5.17314e-06 -5.173e-06  0.000e+00  0.000e+00 -5.173e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  14400 -8.68585e-08 -8.686e-08  0.000e+00  0.000e+00 -8.686e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
