#
# INPUTFILE /home/tmpchem/coding/compchem/input/mc/benzene_2.mc
#
# -- INPUT DATA --
#
# MOLFILE /home/tmpchem/coding/compchem/geom/xyzq/benzene_2.xyzq
# ENERGYOUT /home/tmpchem/coding/compchem/data/mc/benzene_2.dat
# GEOMOUT /home/tmpchem/coding/compchem/data/mc/benzene_2.xyz
# RANDOMSEED 558222221
# TEMPERATURE 15.000000 K
# BOUNDARY 21.750000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 2.000000 s
# ENERGYCONF 25
# GEOMCONF 100
# TOTALCONF 20000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
   3025  2.32510e+00  1.309e+00  1.016e+00  0.000e+00 -6.377e-01  1.947e+00  3.534e-01  2.855e-01  3.496e-01  2.715e-02
   3050  2.36723e+00  1.315e+00  1.052e+00  0.000e+00 -6.371e-01  1.952e+00  4.639e-01  2.905e-01  2.801e-01  1.757e-02
   3075  2.26809e+00  1.311e+00  9.568e-01  0.000e+00 -6.385e-01  1.950e+00  4.486e-01  3.330e-01  1.662e-01  9.045e-03
   3100  2.20720e+00  1.316e+00  8.912e-01  0.000e+00 -6.372e-01  1.953e+00  3.660e-01  3.685e-01  1.486e-01  8.134e-03
   3125  2.10982e+00  1.313e+00  7.965e-01  0.000e+00 -6.373e-01  1.951e+00  2.734e-01  3.058e-01  2.025e-01  1.481e-02
   3150  2.31305e+00  1.312e+00  1.001e+00  0.000e+00 -6.373e-01  1.950e+00  4.020e-01  3.389e-01  2.412e-01  1.844e-02
   3175  2.34038e+00  1.317e+00  1.023e+00  0.000e+00 -6.383e-01  1.955e+00  3.657e-01  3.819e-01  2.552e-01  2.041e-02
   3200  2.21915e+00  1.312e+00  9.071e-01  0.000e+00 -6.362e-01  1.948e+00  2.753e-01  3.017e-01  3.062e-01  2.386e-02
   3225  2.23971e+00  1.315e+00  9.247e-01  0.000e+00 -6.376e-01  1.953e+00  2.734e-01  3.649e-01  2.652e-01  2.123e-02
   3250  2.18383e+00  1.313e+00  8.705e-01  0.000e+00 -6.372e-01  1.951e+00  2.390e-01  3.982e-01  2.172e-01  1.603e-02
   3275  2.20313e+00  1.311e+00  8.919e-01  0.000e+00 -6.386e-01  1.950e+00  2.820e-01  3.516e-01  2.401e-01  1.818e-02
   3300  2.42989e+00  1.311e+00  1.119e+00  0.000e+00 -6.396e-01  1.951e+00  5.083e-01  3.788e-01  2.171e-01  1.448e-02
   3325  2.47032e+00  1.312e+00  1.159e+00  0.000e+00 -6.401e-01  1.952e+00  5.301e-01  3.555e-01  2.561e-01  1.698e-02
   3350  2.36743e+00  1.315e+00  1.052e+00  0.000e+00 -6.393e-01  1.954e+00  5.136e-01  2.959e-01  2.282e-01  1.479e-02
   3375  2.18927e+00  1.314e+00  8.748e-01  0.000e+00 -6.395e-01  1.954e+00  3.051e-01  3.447e-01  2.098e-01  1.524e-02
   3400  2.20042e+00  1.313e+00  8.873e-01  0.000e+00 -6.396e-01  1.953e+00  3.514e-01  3.546e-01  1.693e-01  1.195e-02
   3425  2.24138e+00  1.315e+00  9.259e-01  0.000e+00 -6.404e-01  1.956e+00  4.288e-01  3.281e-01  1.586e-01  1.041e-02
   3450  2.36997e+00  1.309e+00  1.061e+00  0.000e+00 -6.410e-01  1.950e+00  4.358e-01  4.108e-01  1.999e-01  1.430e-02
   3475  2.66293e+00  1.311e+00  1.352e+00  0.000e+00 -6.409e-01  1.952e+00  6.041e-01  5.136e-01  2.190e-01  1.481e-02
   3500  2.52639e+00  1.318e+00  1.209e+00  0.000e+00 -6.392e-01  1.957e+00  4.368e-01  5.499e-01  2.081e-01  1.389e-02
   3525  2.34688e+00  1.318e+00  1.029e+00  0.000e+00 -6.373e-01  1.955e+00  3.701e-01  4.446e-01  1.998e-01  1.437e-02
   3550  2.54014e+00  1.319e+00  1.221e+00  0.000e+00 -6.381e-01  1.957e+00  5.407e-01  4.405e-01  2.215e-01  1.843e-02
   3575  2.45340e+00  1.312e+00  1.142e+00  0.000e+00 -6.372e-01  1.949e+00  4.443e-01  4.460e-01  2.344e-01  1.698e-02
   3600  2.30938e+00  1.315e+00  9.946e-01  0.000e+00 -6.381e-01  1.953e+00  3.485e-01  3.992e-01  2.307e-01  1.622e-02
   3625  2.21644e+00  1.315e+00  9.013e-01  0.000e+00 -6.369e-01  1.952e+00  2.966e-01  2.700e-01  3.112e-01  2.357e-02
   3650  2.19533e+00  1.313e+00  8.826e-01  0.000e+00 -6.359e-01  1.949e+00  3.595e-01  2.095e-01  2.939e-01  1.967e-02
   3675  2.17688e+00  1.311e+00  8.654e-01  0.000e+00 -6.347e-01  1.946e+00  2.958e-01  2.706e-01  2.801e-01  1.882e-02
   3700  2.20268e+00  1.321e+00  8.822e-01  0.000e+00 -6.345e-01  1.955e+00  2.739e-01  2.888e-01  3.013e-01  1.808e-02
   3725  2.12226e+00  1.317e+00  8.057e-01  0.000e+00 -6.319e-01  1.948e+00  2.395e-01  2.831e-01  2.657e-01  1.742e-02
   3750  2.07395e+00  1.318e+00  7.556e-01  0.000e+00 -6.333e-01  1.952e+00  2.521e-01  3.117e-01  1.841e-01  7.715e-03
   3775  2.18998e+00  1.316e+00  8.744e-01  0.000e+00 -6.340e-01  1.950e+00  3.775e-01  2.862e-01  2.023e-01  8.352e-03
   3800  2.21318e+00  1.318e+00  8.949e-01  0.000e+00 -6.343e-01  1.953e+00  4.216e-01  2.669e-01  1.963e-01  1.006e-02
   3825  2.22782e+00  1.314e+00  9.137e-01  0.000e+00 -6.347e-01  1.949e+00  4.096e-01  2.830e-01  2.093e-01  1.193e-02
   3850  2.15284e+00  1.313e+00  8.395e-01  0.000e+00 -6.347e-01  1.948e+00  3.707e-01  2.208e-01  2.355e-01  1.251e-02
   3875  2.07811e+00  1.315e+00  7.629e-01  0.000e+00 -6.340e-01  1.949e+00  3.303e-01  1.983e-01  2.249e-01  9.338e-03
   3900  2.13511e+00  1.314e+00  8.208e-01  0.000e+00 -6.337e-01  1.948e+00  2.906e-01  2.297e-01  2.853e-01  1.518e-02
